Op-Type,Storage,Sizes,Wkrs,Op-Count,Avg-ResTime,Avg-ProcTime,Throughput
write,CEPH,4 KB,1,14 ops,2109 ms,2109 ms,0.47 op/s
write,CEPH,4 KB,100,1.4 kops,2117.63 ms,2117.63 ms,47.22 op/s
write,CEPH,4 KB,1000,13.01 kops,2200.82 ms,2200.82 ms,454.41 op/s
write,CEPH,4 MB,1,14 ops,2108.79 ms,2108.79 ms,0.47 op/s
write,CEPH,4 MB,100,1.32 kops,2150.65 ms,2150.65 ms,46.49 op/s
write,CEPH,4 MB,1000,12.89 kops,2288.65 ms,2288.65 ms,436.94 op/s
write,CEPH,64 MB,1,14 ops,2114.86 ms,2114.86 ms,0.47 op/s
write,CEPH,64 MB,100,1.4 kops,2130.14 ms,2130.14 ms,46.94 op/s
write,CEPH,64 MB,1000,12.37 kops,2314.44 ms,2314.44 ms,432.05 op/s
write,CEPH,256 MB,1,14 ops,2108.71 ms,2108.71 ms,0.47 op/s
write,CEPH,256 MB,100,1.32 kops,2162.99 ms,2162.99 ms,46.22 op/s
write,CEPH,256 MB,1000,12.66 kops,2276.95 ms,2276.95 ms,439.1 op/s
write,CEPH,1024 MB,1,14 ops,2113.64 ms,2113.64 ms,0.47 op/s
write,CEPH,1024 MB,100,1.4 kops,2121.17 ms,2121.17 ms,47.14 op/s
write,CEPH,1024 MB,1000,13.01 kops,2193.94 ms,2193.94 ms,455.87 op/s
write,JuiceFS,4 KB,1,13.7 ops,2165.2 ms,2165.2 ms,0.43 op/s
write,JuiceFS,4 KB,100,1.25 kops,2210.8 ms,2210.8 ms,45.02 op/s
write,JuiceFS,4 KB,1000,11.8 kops,2335.4 ms,2335.4 ms,401.72 op/s
write,JuiceFS,4 MB,1,13.6 ops,2180.3 ms,2180.3 ms,0.43 op/s
write,JuiceFS,4 MB,100,1.22 kops,2265.7 ms,2265.7 ms,44.22 op/s
write,JuiceFS,4 MB,1000,11.3 kops,2423.1 ms,2423.1 ms,398.72 op/s
write,JuiceFS,64 MB,1,13.8 ops,2235.6 ms,2235.6 ms,0.42 op/s
write,JuiceFS,64 MB,100,1.18 kops,2298.4 ms,2298.4 ms,43.52 op/s
write,JuiceFS,64 MB,1000,10.9 kops,2480.7 ms,2480.7 ms,395.18 op/s
write,JuiceFS,256 MB,1,13.5 ops,2280.1 ms,2280.1 ms,0.42 op/s
write,JuiceFS,256 MB,100,1.15 kops,2365.9 ms,2365.9 ms,42.73 op/s
write,JuiceFS,256 MB,1000,11.6 kops,2465.3 ms,2465.3 ms,392.12 op/s
write,JuiceFS,1024 MB,1,13.9 ops,2245.8 ms,2245.8 ms,0.42 op/s
write,JuiceFS,1024 MB,100,1.21 kops,2330.6 ms,2330.6 ms,43.65 op/s
write,JuiceFS,1024 MB,1000,11.9 kops,2385.4 ms,2385.4 ms,420.18 op/s
write,Lustre+MinIO,4 KB,1,15.9 ops,1900.5 ms,1900.5 ms,0.53 op/s
write,Lustre+MinIO,4 KB,100,1.6 kops,1950.2 ms,1950.2 ms,51.28 op/s
write,Lustre+MinIO,4 KB,1000,15 kops,2000.4 ms,2000.4 ms,480.12 op/s
write,Lustre+MinIO,4 MB,1,15.9 ops,1910.8 ms,1910.8 ms,0.53 op/s
write,Lustre+MinIO,4 MB,100,1.6 kops,1975.6 ms,1975.6 ms,51.14 op/s
write,Lustre+MinIO,4 MB,1000,14.5 kops,2010.2 ms,2010.2 ms,488.1 op/s
write,Lustre+MinIO,64 MB,1,16 ops,1920.3 ms,1920.3 ms,0.52 op/s
write,Lustre+MinIO,64 MB,100,1.65 kops,1985.1 ms,1985.1 ms,52.37 op/s
write,Lustre+MinIO,64 MB,1000,14.8 kops,2020.6 ms,2020.6 ms,495.3 op/s
write,Lustre+MinIO,256 MB,1,16 ops,1930.6 ms,1930.6 ms,0.52 op/s
write,Lustre+MinIO,256 MB,100,1.7 kops,1995.4 ms,1995.4 ms,53.08 op/s
write,Lustre+MinIO,256 MB,1000,15.2 kops,2015.8 ms,2015.8 ms,501.2 op/s
write,Lustre+MinIO,1024 MB,1,16 ops,1940.9 ms,1940.9 ms,0.52 op/s
write,Lustre+MinIO,1024 MB,100,1.65 kops,2005.7 ms,2005.7 ms,52.73 op/s
write,Lustre+MinIO,1024 MB,1000,15.5 kops,1990.4 ms,1990.4 ms,510.32 op/s
